location,FirsDate,LastDate,hosp_patients,aged_70_older,gdp_per_capita,human_development_index,number_samples,population,hosp_by_pop
Finland,21/03/2020,30/11/2020,14274,13.264,40585.721,0.938,526,5530719.0,258.09
Denmark,02/04/2020,30/11/2020,30162,12.325,46682.515,0.94,329,5831404.0,517.23
Canada,09/03/2020,30/11/2020,305442,10.797,44017.591,0.929,788,38005238.0,803.68
Estonia,06/01/2020,30/11/2020,11565,13.491,29481.252,0.892,221,1331057.0,868.86
Netherlands,27/02/2020,30/11/2020,244482,11.881,48472.545,0.944,900,17441139.0,1401.75
Austria,01/04/2020,30/11/2020,159780,13.748,45436.686,0.922,381,8917205.0,1791.82
United States,15/07/2020,30/11/2020,5984109,9.732,54225.446,0.926,157,329484123.0,1816.21
Spain,20/08/2020,30/11/2020,932331,13.799,34272.36,0.904,114,47351567.0,1968.95
Israel,02/03/2020,30/11/2020,192271,7.359,33132.32,0.919,520,9216900.0,2086.07
Sweden,27/02/2020,30/11/2020,245013,13.433,46949.283,0.945,250,10353442.0,2366.49
Slovenia,10/03/2020,30/11/2020,52606,12.93,31400.84,0.917,581,2100126.0,2504.9
United Kingdom,27/03/2020,30/11/2020,1902222,12.527,39753.244,0.932,286,67215293.0,2830.04
Italy,24/02/2020,30/11/2020,3194970,16.24,35220.084,0.892,359,59554023.0,5364.83
France,24/01/2020,30/11/2020,3788274,13.079,38605.671,0.901,154,67391582.0,5621.29
